热词,PC1,PC2
"感谢,希望,上岸,成绩,飙升,全科,有副作用,家人,平安,身体健康,平平安安,所愿,顺利,天天开心,中考,希望我,在一起,心想事成,所得,健康,许愿,录取,抱抱,顺顺利利,金榜题名,健健康康,志愿,逢考必过,幸福,无副作用",-1097018.9087190246,90197.43840506984
"小猫,善良,大叔,叔叔,感谢,好人,看不得,平安,的人,小猫咪,希望,一生,平平安安,看不了,猫猫,好可怜,心疼,哭了,健健康康,死了,我家,眼睛,流浪猫,环卫工人,尿尿,小动物,尸体,爷爷,让我,说不定",-4531560.843005512,151017.6848872382
"炎亚纶,汪东城,喜欢,大东,身材,不老,理解,男人,迷死,看了,九转,大肠,衣服,迷糊,年轻,宕机,感觉,暗中观察,东哥,爱看,小学,评论区,好帅,灵机一动,好看,飞轮海,腹肌,眼光,质疑,发呆",13147062.207687903,57037.40702925048
"万茜,鼻子,刘亦菲,胡歌,好看,好美,侧脸,逍遥哥哥,侧颜,好像,好好看,感觉,长发,美女,喜欢,灵儿,很美,同框,神仙姐姐,好漂亮,两个人,漂亮,真好看,太美了,好美啊,驼峰,大美女,李逍遥,明星,两人",10941332.6398537,-170928.88323297742
"团建,OK,宕机,赤红之瞳,第五人格,九转,大肠,咒术回战,cos,咒术,弹丸论破,调皮,鬼灭,去吧,全员,已故,柯南,诚哥,二次元,角色,走啊,都能,火影,五条悟,地狱客栈,逞强,落泪,咒回,巨人,首领",150813.78244917467,181155.58858370365
"队伍,嗨起来,首歌,国公,艾瑞,摇起来,灵机一动,在哪,音乐,满脑子,萧蘅,感觉,九转,大肠,出来了,巴得,call,不错,队形,扭起来,节奏,整齐划一,乱七八糟,你行,就来,奇葩,逞强,落泪,一支,猫猫",8111372.948798782,-136610.88758439277
"孟姐,孟子义,兰闺,喜事,好听,情绪价值,说话,喜欢,唱歌,笑死我了,给她,会说话,算命,九转,大肠,情商,笑死了,拉满,确实,好会,辣目洋子,好像,感觉,算命的,很好看,灵机一动,嘴角,脑子,好看,学习",2872915.60055527,74935.69283745674
"爬山,拒绝,做起,女色,中华,建设,吊带,喜欢,墨镜,天柱山,武功山,我去,都是,河南,阿姨,让我,倒数,笑死了,的人,浙江,发呆,山西,感觉,出发,河南省,暗中观察,广东,背心,安徽,江苏",4614846.619166934,151968.30890715495
"文案,幸福,小猪,笑死,漂亮,抱抱,韩安冉,好漂亮,感觉,希望,结婚,好看,孩子,笑死我了,被爱,猪头,爱人,能用,安冉,好可爱,如养,好好看,拖鞋,的人,手环,一直幸福,看着,直播,老公,猪妹",7761536.317580131,15097.123631207542
"好可爱,狗子,满月,上班,好像,生气,表情,疫苗,眼神,拉布拉多,没事,感觉,窝囊,选择,喜欢,狗狗,窝囊气,一脸,九转,大肠,被迫营业,太可爱了,小狗,样子,熬夜,生病,也有,小眼神,主人,像不像",956833.7626675508,189571.044236858
,2160691.169094376,242620.92699293408
"感谢,飙升,成绩,接接,有副作用,全科,上岸,无副作用,国家,中考,金榜题名,预估,志愿,贵人,录取,总分,成功上岸,复制,考上,求求了,超常发挥,批卷,理想,中考成绩,成功,学业有成,保佑,改卷,逢考必过,顺利",-4406773.807303507,54893.02789214479
"王传君,孟子义,唱歌,好男儿,好听,出道,声音,我以为,感觉,孟姐,带偏,关谷,跑调,有空,潘玮柏,带跑,好像,厉害,选秀,唱的,汪峰,礼拜,九转,大肠,关谷神奇,原唱,宕机,不知道,没想到,灵机一动",6525814.895299477,20962.388706199104
