热词,PC1,PC2
"感谢,飙升,成绩,接接,有副作用,全科,上岸,无副作用,国家,中考,金榜题名,预估,志愿,贵人,录取,总分,成功上岸,复制,考上,求求了,超常发挥,批卷,理想,中考成绩,成功,学业有成,保佑,改卷,逢考必过,顺利",-3665559.9091460016,61024.223818932755
"王传君,孟子义,唱歌,好男儿,好听,出道,声音,我以为,感觉,孟姐,带偏,关谷,跑调,有空,潘玮柏,带跑,好像,厉害,选秀,唱的,汪峰,礼拜,九转,大肠,关谷神奇,原唱,宕机,不知道,没想到,灵机一动",7267071.10649482,74997.85054918876
"英雄,成龙,感谢,高先生,昆仑,万丈,好人,一生,平安,天生我材必有用,致敬,孩子,见义勇为,巨人,身高,德高,的人,善良,救援,大义,高大,安平,消防队,三尺,救人一命,意义,奖金,必有用,点赞,荣誉证书",3145541.209642349,-7517.1876224651205
"教练,考驾照,学车,驾校,广西,驾照,练车,许光汉,好帅,教我,报名,老头,宕机,调皮,九转,大肠,巧克力,帅的,我去,感觉,OK,喜欢,重考,想谈,帅哥,在哪,完了,情绪稳定,能不能,发呆",3278034.2230768455,283386.645772422
"电影,烈士陵园,看了,刷到,连长,蒙生,倪大红,中国,看过,四爷,董卓,好电影,诸葛亮,花环,开来,哭了,雷军,的人,看一遍,都会,眼睛,高山,人民,司马懿,贵妇人,战争,儿子,眼泪,百看不厌,英雄",7742519.723813586,-9465.525411677292
"陀螺,发呆,好帅,特效,宕机,动画片,异火,心火,青莲,火焰,卧槽,飓风战魂,琉璃,莲心,我去,牛逼,是真的,红色,OK,想玩,九转,大肠,好玩,太帅了,燃起来了,萧炎,领域展开,好看,火力少年王,男人",11373812.141645225,218632.08702969144
"冰箱,我家,吊带,思念,全是,宝宝,呼吸,链接,都是,生命,剩菜,感觉,也有,好看,有你,好像,赵露思,拍的,姐姐,调皮,OK,老婆,宕机,九转,大肠,给你,只能,不行,给我,适合",-985017.5824052547,92266.87248866691
"发呆,宕机,牛逼,警车,八字,头盔,OK,哥们,九转,大肠,我去,全体起立,自行车,惊恐,卧槽,祖宗,警察,疑问,nb,路人,钻过去,逆天,暗中观察,摆头,电影,重要性,摩托车,我靠,阎王,撤回",4600388.739033259,292413.963865414
"好帅,小新,蜡笔小新,宕机,OK,我去,表哥,发呆,人物,这是,堂哥,帅哥,帅的,没见过,感觉,看过,猪头,喜欢,真的帅,风间,真帅,画风,看了,不知道,调皮,九转,大肠,记得,帅啊,印象",-1318703.3301452687,110933.56001697073
"吵架,猫条,白猫,化妆,笑死我了,橘猫,大橘,大白,笑死了,小白,假装,九转,大肠,pk,笑死,好可爱,宕机,打架,三花,没眼看,演戏,两只猫,猫猫,PK,圈点,吃的,主播,绝育,博主,有没有",4352315.080777869,210866.9151955265
"武汉,晚霞,火烧云,好看,拍的,拍到,好美,好好看,错过了,意味着,学校,发呆,不出门,也有,行千里,宝宝,上岸,天空,OK,没看见,感谢,宕机,赶上,朝霞,调皮,苏醒,我去,暴雨,下雨,这是",3524527.9128298108,117939.24153340334
"历史,宕机,毕业了,历史书,学历史,OK,朝代,毕业,九转,大肠,山海经,挖到,没毕业,还好,唐尧虞舜,老祖宗,中国,挖出来,证明,盘古,考古,挖出,学生,文字,有福,近代史,文明,能不能,专业,神话",3896040.5330061466,136670.4910100847
"请假,理由,好好活着,抱抱,早日康复,活着,宝宝,好朋友,出院,休息,我可以,自有妙计,用不着,你别,康复,健康,我有,好好的,给我,希望,辞职,朋友,你好,健健康康,上班,旷工,不准,办法,没事,老板",1825763.1545089474,66291.41998618125
"想玩,好玩,爱看,好看,好好玩,减速带,扭扭车,感觉,比赛,尾流,闷闷,宕机,看着,破风,发呆,脚刹,九转,大肠,老哥,硬控,下坡,刹车,男人,秋秋,OK,刷到,这是,有意思,男生,是真的",6997174.957665395,12113.075998399647
"球拍,嫁妆,姐姐,拍子,见过,喜欢,入赘,OK,老婆,发呆,女孩,宕机,彩礼,能不能,结婚,性别,不谈,漂亮的,最美,宝宝,羽毛球,想要,给我,抛开,女人,川崎,可以吗,拿下,调皮,这是",-440348.7250853162,117637.64176710448
"不想,羡慕,没事,嫉妒,光头,我去,很想,上海,发出,跳楼,音乐会,OK,包听,逞强,落泪,老公,啊啊啊啊,听话,声音,眼含,热泪,宕机,九转,大肠,听到,哭了,没去,发呆,好啊,感觉",1957265.6646664375,333282.78360912186
"OK,佛祖,笑死我了,佛说,正片,宕机,看到最后,功德,广告,ing,还好,九转,大肠,女朋友,发呆,用户,讨厌,不行,生性,多疑,分享,笑死了,大王,好友,视频,喜欢,艾特,转发给,小猫,爱吃",4162463.9578627516,374305.575966137
"笑死我了,那英,帮人,未遂,OK,笑死了,危言耸听,宕机,珊珊,英子,九转,大肠,表情,一句,我笑死,我以为,娜姐,给他,不吃,小女孩,小孩,感觉,电视剧,逆天,表情包,笑点,看着,有点像,大粪,认出来",3230819.363607849,16065.679190817486
